Back,Back
Save,Save
"If you proceed, this will attempt to map Magento SKUs to ","If you proceed, this will attempt to map Magento SKUs to "
Amazon SKUs based on exact SKU value matches.,Amazon SKUs based on exact SKU value matches.
Any SKUs that are an exact match will be mapped.,Any SKUs that are an exact match will be mapped.
Do you want to proceed?,Do you want to proceed?
AutoMap,AutoMap
Import SKUs,Import SKUs
help,help
AmazonMCF Help,AmazonMCF Help
Inventory,Inventory
Inventory Sync,Inventory Sync
Logs,Logs
A total of %1 record(s) have been deleted.,A total of %1 record(s) have been deleted.
Failed to sync order,Failed to sync order
setup,setup
Amazon Multi-Channel Fulfillment (MCF) Setup,Amazon Multi-Channel Fulfillment (MCF) Setup
Deleted the store successfully,Deleted the store successfully
Something went wrong while saving the data,Something went wrong while saving the data
Disconnected successfully,Disconnected successfully
Something went wrong while disconnecting the store,Something went wrong while disconnecting the store
Already a connection exist with the selected website.,Already a connection exist with the selected website.
Saved successfully,Saved successfully
Please select required data,Please select required data
Settings,Settings
Settings updated,Settings updated
Failed to save. Please try again,Failed to save. Please try again
Amazon Shipping Rates,Amazon Shipping Rates
Shipping rates updated,Shipping rates updated
SKU Mapping,SKU Mapping
AutoMap SKU,AutoMap SKU
Error,Error
%1 new SKUs mapped and %2 SKUs were updated,%1 new SKUs mapped and %2 SKUs were updated
Info,Info
Failed to map SKUs due to invalid server response.,Failed to map SKUs due to invalid server response.
Failed to map SKUs automatically.,Failed to map SKUs automatically.
Failed to map SKUs automatically due to invalid server response.,Failed to map SKUs automatically due to invalid server response.
Import,Import
File cannot be saved to path: %1,File cannot be saved to path: %1
Invalid file format,Invalid file format
Import request is added to queue,Import request is added to queue
Import SKU,Import SKU
Please choose a valid csv file.,Please choose a valid csv file.
Please correct the data entered.,Please correct the data entered.
The Seller Sku is Already mapped with another Product.,The Seller Sku is Already mapped with another Product.
Inline Edit,Inline Edit
<b>%1</b> mapped successfully.,<b>%1</b> mapped successfully.
<b>%1</b> unmapped successfully.,<b>%1</b> unmapped successfully.
". "" mapped successfully.""",". "" mapped successfully."""
No response found with given seller SKU (%1) to map.,No response found with given seller SKU (%1) to map.
No response found with given seller SKU(%1) to map.,No response found with given seller SKU(%1) to map.
Amazon store is not connected to the selected website.,Amazon store is not connected to the selected website.
Mass MCF Enable,Mass MCF Enable
"No mapped product(s) with SKU <b>""%1""</b> are found to enable.","No mapped product(s) with SKU <b>""%1""</b> are found to enable."
"Product(s) with SKU <b>""%1""</b> not mapped yet to enable.","Product(s) with SKU <b>""%1""</b> not mapped yet to enable."
Success,Success
A total of %1 record(s) have been enabled.,A total of %1 record(s) have been enabled.
"Product(s) with SKU <b>""%1""</b> not mapped yet to disable.","Product(s) with SKU <b>""%1""</b> not mapped yet to disable."
Mass MCF Disable,Mass MCF Disable
"No mapped product(s) with SKU <b>""%1""</b> are found to disable.","No mapped product(s) with SKU <b>""%1""</b> are found to disable."
A total of %1 record(s) have been disabled.,A total of %1 record(s) have been disabled.
"Connected successfully.Please click to 
                        close the window","Connected successfully.Please click to 
                        close the window"
Something went wrong while connecting the store,Something went wrong while connecting the store
There is something wrong to connect,There is something wrong to connect
Invalid response data from the Amazon server,Invalid response data from the Amazon server
Select a country,Select a country
Canada,Canada
Mexico,Mexico
United Kingdom,United Kingdom
Brazil,Brazil
United States of America,United States of America
Spain,Spain
France,France
Netherlands,Netherlands
Germany,Germany
Italy,Italy
Sweden,Sweden
Poland,Poland
Egypt,Egypt
Turkey,Turkey
Saudi Arabia,Saudi Arabia
United Arab Emirates,United Arab Emirates
India,India
Singapore,Singapore
Australia,Australia
Japan,Japan
Select a version,Select a version
Beta,Beta
Stable,Stable
"Please correct cron expression: ""%1"".","Please correct cron expression: ""%1""."
Synced %1 inventory.,Synced %1 inventory.
Failed to sync inventory due to invalid server response,Failed to sync inventory due to invalid server response
Failed to sync inventory %1.,Failed to sync inventory %1.
Something went wrong while saving the file(s).,Something went wrong while saving the file(s).
File can not be saved to the destination folder.,File can not be saved to the destination folder.
You can't create the shipment of this order.,You can't create the shipment of this order.
"Item with id ""%1"" does not exist.","Item with id ""%1"" does not exist."
Could not save the data: %1,Could not save the data: %1
Sync Order,Sync Order
Select,Select
MCF,MCF
NON MCF,NON MCF
Mapped,Mapped
Not Mapped,Not Mapped
Enabled,Enabled
Disabled,Disabled
Enable,Enable
Last Sync Time: ,Last Sync Time: 
Sync Now,Sync Now
Multi-Channel Fulfillment,Multi-Channel Fulfillment
"Automate fulfillment of your store orders using Amazon's fast,
             reliable fulfillment.","Automate fulfillment of your store orders using Amazon's fast,
             reliable fulfillment."
Add Amazon Account,Add Amazon Account
How do I sign up for Multi-Channel Fulfillment?,How do I sign up for Multi-Channel Fulfillment?
If you’re new to selling on Amazon,If you’re new to selling on Amazon
contact,contact
"us to sign up. If you currently sell with FBA, get started","us to sign up. If you currently sell with FBA, get started"
here.,here.
Do I need to be an Amazon seller to use Multi-Channel Fulfillment?,Do I need to be an Amazon seller to use Multi-Channel Fulfillment?
"No. An Amazon Seller Central account is required to use MCF, 
            but you are not required to sell items on Amazon. To prevent your products from being purchased on Amazon,
             you can set the ""start selling"" date far into the future when you create the product listing. 
             This will hide the product from the Amazon marketplace, but MCF will still accept fulfillment orders 
             from your other channels.","No. An Amazon Seller Central account is required to use MCF, 
            but you are not required to sell items on Amazon. To prevent your products from being purchased on Amazon,
             you can set the ""start selling"" date far into the future when you create the product listing. 
             This will hide the product from the Amazon marketplace, but MCF will still accept fulfillment orders 
             from your other channels."
What is the difference between FBA and MCF?,What is the difference between FBA and MCF?
Fulfillment by Amazon (FBA),Fulfillment by Amazon (FBA)
"allows you to fulfill orders placed on Amazon while Multi-Channel 
             Fulfillment (MCF) fulfills orders on any of your channels including your own website.","allows you to fulfill orders placed on Amazon while Multi-Channel 
             Fulfillment (MCF) fulfills orders on any of your channels including your own website."
"Can I use my current FBA inventory to 
                    fulfill Multi-Channel Fulfillment orders?","Can I use my current FBA inventory to 
                    fulfill Multi-Channel Fulfillment orders?"
"Yes. If you are an existing Amazon seller using FBA,
             your inventory will serve both Amazon customers and customers from your MCF sales channels.","Yes. If you are an existing Amazon seller using FBA,
             your inventory will serve both Amazon customers and customers from your MCF sales channels."
How does MCF impact my Inventory Performance Index (IPI) score?,How does MCF impact my Inventory Performance Index (IPI) score?
"The IPI score measures how efficient and productive you are in managing 
            your FBA inventory.Multiple factors could influence your IPI score. However, an important one is 
            your actions to maintain a balanced inventory level between sold and on-hand inventory and avoid excess
               inventory (overstock). Using MCF to improve sell-through can help avoid excess inventory,
                increasing your ability to achieve a strong IPI score.","The IPI score measures how efficient and productive you are in managing 
            your FBA inventory.Multiple factors could influence your IPI score. However, an important one is 
            your actions to maintain a balanced inventory level between sold and on-hand inventory and avoid excess
               inventory (overstock). Using MCF to improve sell-through can help avoid excess inventory,
                increasing your ability to achieve a strong IPI score."
Is MCF offered in other countries?,Is MCF offered in other countries?
"Yes. MCF is available in Australia, Canada, France,
             Germany, Italy, Japan, Mexico, Spain and the United Kingdom.","Yes. MCF is available in Australia, Canada, France,
             Germany, Italy, Japan, Mexico, Spain and the United Kingdom."
Will Amazon share my data with other companies?,Will Amazon share my data with other companies?
"No. Amazon collects data needed to provide distribution and
             fulfillment services and strictly prohibits use of non-public, 
             seller-specific data beyond enabling us to perform the services.","No. Amazon collects data needed to provide distribution and
             fulfillment services and strictly prohibits use of non-public, 
             seller-specific data beyond enabling us to perform the services."
Does MCF participate in any sustainability initiatives?,Does MCF participate in any sustainability initiatives?
"MCF, as a part of Amazon, is committed to building a
             sustainable business for customers and the planet. In 2019, Amazon co-founded 
             The Climate Pledge, a commitment to be net-zero carbon by 2040. To reach this goal,
              Amazon has undertaken initiatives targeting packaging, renewable energy, and transportation.","MCF, as a part of Amazon, is committed to building a
             sustainable business for customers and the planet. In 2019, Amazon co-founded 
             The Climate Pledge, a commitment to be net-zero carbon by 2040. To reach this goal,
              Amazon has undertaken initiatives targeting packaging, renewable energy, and transportation."
Learn more about these and other initiatives.,Learn more about these and other initiatives.
"Can I tell my customers that their orders are fulfilled by 
                Amazon Multi-Channel Fulfillment and is there a badge I can add to my website?","Can I tell my customers that their orders are fulfilled by 
                Amazon Multi-Channel Fulfillment and is there a badge I can add to my website?"
"Yes, you can use the statement ""Fulfilled by Amazon"" 
            on your website.You can also showcase","Yes, you can use the statement ""Fulfilled by Amazon"" 
            on your website.You can also showcase"
our logo,our logo
" on your website to improve your customers checkout
               experience and decrease shopping cart abandonment."," on your website to improve your customers checkout
               experience and decrease shopping cart abandonment."
Review these tasks to assure everything will function optimally.,Review these tasks to assure everything will function optimally.
Amazon,Amazon
 1. Create an Amazon  account., 1. Create an Amazon  account.
"If you are new to Amazon, 
                                start by creating your account: ","If you are new to Amazon, 
                                start by creating your account: "
Create Amazon Seller Central Account,Create Amazon Seller Central Account
